name,imdb_name,imdb_rate,imdb_ppl,storyline
Melancholia, Melancholia (2011) ,7.2,176K,"On the night of her wedding, Justine (Kirsten Dunst) is struggling to be happy even though it should be the happiest day of her life. It was an extravagant wedding paid for by her sister and brother-in-law who are trying to keep the bride and all the guests in line. Meanwhile, Melancholia, a blue planet, is hurtling towards the Earth. Claire (Charlotte Gainsbourg), Justine's sister, is struggling to maintain composure with fear of the impending disaster. —napierslogs"
Inglourious Basterds, Inglourious Basterds (2009) ,8.3,1.4M,"In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history. —The Massie Twins"
Inside Llewyn Davis, Inside Llewyn Davis (2013) ,7.5,148K,"Follow a week in the life of a young folk singer as he navigates the Greenwich Village folk scene of 1961. Guitar in tow, huddled against the unforgiving New York winter, he is struggling to make it as a musician against seemingly insurmountable obstacles -- some of them of his own making. —Production"
Only Lovers Left Alive, Only Lovers Left Alive (2013) ,7.3,97K,"Set against the romantic desolation of Detroit and Tangiers, an underground musician, deeply depressed by the direction of human activities, reunites with his resilient and enigmatic lover. Their love story has already endured several centuries at least, but their debauched idyll is soon disrupted by her wild and uncontrollable younger sister. Can these wise but fragile outsiders continue to survive as the modern world collapses around them? —HanWay Films"
The Congress, The Congress (2013) ,6.5,18K,"An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider."
The Master, The Master (2012) ,7.2,166K,"Following his discharge from the US Navy after WWII, Freddie Quell is having difficulties adjusting to non-military life partly due to his war experiences in the tropics. He has a violent temper. He is obsessed with sex, which is partly why he can't and won't commit to his teenaged girlfriend, Doris Solstad. And he is an alcoholic, drinking primarily concoctions he creates himself with dangerous ingredients. It is these factors in combination that lead to him being fired from one job after another, from department store portrait photographer to cabbage picker. Wandering one night in 1950 while drunk, he stumbles upon a yacht being used by Lancaster and Peggy Dodd, the yacht aboard which their daughter Elizabeth will get married. Feeling a connection to the stranger, Lancaster invites Freddie to stay aboard to work. In addition to that work, Lancaster indoctrinates him into his cult, named the Cause, which purports to do things as varied as cure serious maladies and create world peace. Peggy, Elizabeth and Elizabeth's husband Clark all subscribe to and support Lancaster's teachings. The only one of the Dodd family that doesn't is Lancaster and Peggy's son, Val Dodd, who believes his father is just making things up as he goes along. Because of being lost psychologically, Freddie is easy prey, he who is looking for something or someone to guide him to a higher plane. But as Freddie travels with the Dodd family as they spout the gospel, he and the Dodds may become at odds with each other if Freddie cannot or does not find from them and the Cause what he needs in life to survive emotionally. —Huggo"
25th Hour, 25th Hour (2002) ,7.6,176K,"The 25th Hour depicts the last day of freedom for a young man before he begins serving a seven-year jail term for drug dealing. Prowling through the city until dawn with his two close male friends and his girlfriend, he is forced to re-examine his life and how he got himself into his predicament, which leads to a shocking, disturbing finale. —Justin Harris <jharris316@yahoo.com>"
24 Hour Party People, 24 Hour Party People (2002) ,7.3,36K,"Manchester 1976: Cambridge educated Tony Wilson, Granada TV presenter, is at a Sex Pistols gig. Totally inspired by this pivotal moment in music history, he and his friends set up a record label, Factory Records, signing first Joy Division (who go on to become New Order) then James and the Happy Mondays, who all become seminal artists of their time. What ensues is a tale of music, sex, drugs, larger-than-life characters, and the birth of one of the most famous dance clubs in the world, The Hacienda - a mecca for clubbers as famous as the likes of Studio 54. Graphically depicting the music and dance heritage of Manchester from the late 70's to the early 90's, this comedy documents the vibrancy that made Mad-chester the place in the world that you would most like to be. —IGB"
Once Upon a Time in Anatolia, Once Upon a Time in Anatolia (2011) ,7.9,45K,"In the rural area around the Anatolian town of Keskin, the local prosecutor, police commissar, and doctor lead a search for a victim of a murder to whom a suspect named Kenan and his mentally challenged brother confessed. However, the search is proving more difficult than expected as Kenan is fuzzy as to the body's exact location. As the group continues looking, its members can't help but chat among themselves about both trivia and their deepest concerns in an investigation that is proving more trying than any of them expected. —Kenneth Chisholm (kchishol@rogers.com)"
Zodiac, Zodiac (2007) ,7.7,506K,"A serial killer in the San Francisco Bay Area taunts police with his letters and cryptic messages. We follow the investigators and reporters in this lightly fictionalized account of the true 1970's case as they search for the murderer, becoming obsessed with the case. Based on Robert Graysmith's book, the movie's focus is the lives and careers of the detectives and newspaper people. —tom day"
